
2024/05/05 (19:23:48) | ===> btop++ v.1.3.2
2024/05/05 (19:23:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/05 (23:48:52) | ===> btop++ v.1.3.2
2024/05/05 (23:48:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (00:56:03) | ===> btop++ v.1.3.2
2024/05/06 (00:56:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/06 (21:16:01) | ===> btop++ v.1.3.2
2024/05/06 (21:16:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/17 (01:25:12) | ===> btop++ v.1.3.2
2024/05/17 (01:25:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/18 (01:40:11) | ===> btop++ v.1.3.2
2024/05/18 (01:40:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/21 (22:31:27) | ===> btop++ v.1.3.2
2024/05/21 (22:31:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/23 (19:55:38) | ===> btop++ v.1.3.2
2024/05/23 (19:55:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/06/03 (21:52:57) | ===> btop++ v.1.3.2
2024/06/03 (21:52:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/09/16 (22:42:52) | ===> btop++ v.1.3.2
2024/09/16 (22:42:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/23 (19:37:00) | ===> btop++ v.1.3.2
2024/12/23 (19:37:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/23 (21:54:14) | ===> btop++ v.1.4.0
2024/12/23 (21:54:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/23 (22:11:35) | ===> btop++ v.1.4.0
2024/12/23 (22:11:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/07 (03:16:36) | ===> btop++ v.1.4.0
2025/01/07 (03:16:36) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/13 (00:47:56) | ===> btop++ v.1.4.0
2025/01/13 (00:47:56) | WARNING: NVML: Failed to get GPU power usage: Not Supported
